,tconst,averageRating,numVotes,startYear,runtimeMinutes,genres,titleType,primaryTitle,budget,id,popularity,poster_path,production_countries,revenue,overview,production_companies_name
3435,tt0118020,7.2,3218,1996,107,"Comedy,Drama",movie,A Self-Made Hero,0,48580,3.98,/kq8aRQHSQyyFTEfGNgOjaTuxkQ5.jpg,FR,0,Set in France at the end of World War II Albert Dehousse finds out his father wasn't a war hero and his mother is a collaborator.,"['Alicéléo', 'Cofimage 7', 'Lumière', 'Studio Images 2', 'France 3 Cinéma', 'M6 Films', 'Initial Groupe']"
3436,tt0118044,6.5,2327,1996,103,"Drama,Romance",movie,Unhook the Stars,0,48862,4.906,/xDa7qRS8iOY5XDvt0DRpwlAJO6H.jpg,"FR, US",0,"Widowed mother Mildred must suddenly redefine herself and find an outlet for her nurturing side when her adult daughter moves out of the family home. Though Mildred thinks she's found her purpose when her neighbor, overworked single mother Monica, asks her to look after her little boy, she has great difficulty learning to strike a healthy balance between giving selflessly to others and remembering to take care of herself.","['Miramax', 'Hachette Première', 'Sheen/Michaels Entertainment']"
3437,tt0118044,6.5,2327,1996,103,"Drama,Romance",movie,Unhook the Stars,0,48862,4.906,/xDa7qRS8iOY5XDvt0DRpwlAJO6H.jpg,"FR, US",0,"Widowed mother Mildred must suddenly redefine herself and find an outlet for her nurturing side when her adult daughter moves out of the family home. Though Mildred thinks she's found her purpose when her neighbor, overworked single mother Monica, asks her to look after her little boy, she has great difficulty learning to strike a healthy balance between giving selflessly to others and remembering to take care of herself.","['Miramax', 'Hachette Première', 'Sheen/Michaels Entertainment']"
3438,tt0118100,6.7,2247,1996,117,"Crime,Drama,Romance",movie,Thieves,0,49935,1.915,/meeBmnlkMP8UhrPvZKv83jjhd2E.jpg,FR,0,"In the middle of the night, someone brings Ivan's body home to his wife and his sad-faced, jug-eared son. Through flashbacks, the film discloses the relationships among Ivan and his brother Alex, a cop with a cleanliness fetish; siblings Juliette and Jimmy, Ivan's partners in a seedy nightclub; the love triangle of Alex, Juliette, and Marie, a professor of philosophy; and of Alex and his nephew, Ivan's dour, stoic son. Ivan's death changes every relationship.","['Les Films Alain Sarde', 'D. A. Films', 'CNC', 'Canal+']"
3439,tt0118100,6.7,2247,1996,117,"Crime,Drama,Romance",movie,Thieves,0,49935,1.915,/meeBmnlkMP8UhrPvZKv83jjhd2E.jpg,FR,0,"In the middle of the night, someone brings Ivan's body home to his wife and his sad-faced, jug-eared son. Through flashbacks, the film discloses the relationships among Ivan and his brother Alex, a cop with a cleanliness fetish; siblings Juliette and Jimmy, Ivan's partners in a seedy nightclub; the love triangle of Alex, Juliette, and Marie, a professor of philosophy; and of Alex and his nephew, Ivan's dour, stoic son. Ivan's death changes every relationship.","['Les Films Alain Sarde', 'D. A. Films', 'CNC', 'Canal+']"
3440,tt0118100,6.7,2247,1996,117,"Crime,Drama,Romance",movie,Thieves,0,49935,1.915,/meeBmnlkMP8UhrPvZKv83jjhd2E.jpg,FR,0,"In the middle of the night, someone brings Ivan's body home to his wife and his sad-faced, jug-eared son. Through flashbacks, the film discloses the relationships among Ivan and his brother Alex, a cop with a cleanliness fetish; siblings Juliette and Jimmy, Ivan's partners in a seedy nightclub; the love triangle of Alex, Juliette, and Marie, a professor of philosophy; and of Alex and his nephew, Ivan's dour, stoic son. Ivan's death changes every relationship.","['Les Films Alain Sarde', 'D. A. Films', 'CNC', 'Canal+']"
3441,tt0118100,6.7,2247,1996,117,"Crime,Drama,Romance",movie,Thieves,0,49935,1.915,/meeBmnlkMP8UhrPvZKv83jjhd2E.jpg,FR,0,"In the middle of the night, someone brings Ivan's body home to his wife and his sad-faced, jug-eared son. Through flashbacks, the film discloses the relationships among Ivan and his brother Alex, a cop with a cleanliness fetish; siblings Juliette and Jimmy, Ivan's partners in a seedy nightclub; the love triangle of Alex, Juliette, and Marie, a professor of philosophy; and of Alex and his nephew, Ivan's dour, stoic son. Ivan's death changes every relationship.","['Les Films Alain Sarde', 'D. A. Films', 'CNC', 'Canal+']"
3442,tt0118105,5.4,228,1996,110,"Drama,Romance",movie,Va' dove ti porta il cuore,0,79174,1.651,/geyelmJuezcovj3ICnDWxhXP5Bb.jpg,"FR, DE, IT",0,"The complicated travails of several generations of Italian women provide the basis for this drama that is based on a novel by Susanna Tamaro. It begins with the peaceful death of Olga, the elderly family matriarch. Marta, her granddaughter returns from the US to attend the funeral and once in Olga's villa in Trieste, begins reading her grandmother's diary. Olga's story unfolds via flashback. As a young woman, Oldga had to marry Antonio a man she didn't love. Later she became passionately involved with a handsome doctor at the local spa. He impregnates her and shortly thereafter dies in a terrible car wreck. The result of their love is Illaria, who grows up to be terribly neurotic. She bears Marta and then she too dies in an automobile accident, leaving Marta to be raised by Olga.",['GMT Productions']
3443,tt0118237,6.0,208,1996,92,Drama,movie,The Pupil,0,134184,1.363,/v3JCFKR1BZiogY0ZtBgVE3IVfoG.jpg,FR,0,"Morgan, a sensitive 12-year-old, growing up in richness and royalty, finds a true friend in Julien, a young man hired to tutor him.",[]
3444,tt0118623,6.2,6106,1997,108,"Drama,Romance",movie,Anna Karenina,35000000,50512,6.803,/3ICgdNGD3CE2QeAj1g3dzdLGyFb.jpg,"RU, GB, US",858553,"Anna Karenina, the wife of a Russian imperial minister, creates a high-society scandal by an affair with Count Vronsky, a dashing cavalry officer in 19th-century St. Petersburg.","['Icon Entertainment International', 'Warner Bros. Pictures', 'Studio Trite']"
3445,tt0118644,6.4,2206,1997,128,"Crime,Drama",movie,Assassin(s),0,34068,2.296,/riRJb1q3ZEX6Z6m1ZfKvyL96Nj6.jpg,"DE, FR",0,"Old professional killer Wagner seeks someone to teach what he knows as long as he is already dying, and he chooses Max, young and passionless thief to be his successor.","['ZDF', 'Les Productions Lazennec', 'Kasso Productions', 'La Sept Cinéma', 'Canal+', 'TF1 Films Production']"
3446,tt0118644,6.4,2206,1997,128,"Crime,Drama",movie,Assassin(s),0,34068,2.296,/riRJb1q3ZEX6Z6m1ZfKvyL96Nj6.jpg,"DE, FR",0,"Old professional killer Wagner seeks someone to teach what he knows as long as he is already dying, and he chooses Max, young and passionless thief to be his successor.","['ZDF', 'Les Productions Lazennec', 'Kasso Productions', 'La Sept Cinéma', 'Canal+', 'TF1 Films Production']"
3447,tt0118685,6.6,566,1997,94,"Drama,Thriller",movie,Barracuda,0,59976,1.4,/mLNhqOgNkqRQWzDKBVgnqlmrgmL.jpg,"BE, FR, DE",0,"This French-German-Belgian thriller, reminiscent of Misery (1990) and The Collector (1965), begins after Fred Astaire-fan Clement (Jean Rochefort) invites comic-book artist Luc (Guillaume Canet) to Sunday dinner with Clement and his wife Violette. Luc's girlfriend Margot announces her pregnancy, prompting Luc to forget about the invitation, but Clement insists that Luc join him. After Luc arrives and sees that Violette is only a life-size plastic doll, he decides to leave but gets clobbered on the head. Awakening, he finds he's been handcuffed to the bathroom sink and gagged. Cruelties ensue, with crazed Clement getting visionary advice from both Astaire and Violette. Award-winning composer-arranger-orchestrator Philippe Haim made his feature directorial debut with this drama, and music is very much a part of the film from Haim's score and music-box melodies to tap dancing, honky-tonk piano, and a full musical comedy production number.","['Eurimages', 'Canal+']"
3448,tt0118756,6.9,3761,1997,128,"Adventure,Drama",movie,On Guard,0,40815,7.507,/f8mbI3V19KWQVBaviChme4By43r.jpg,"FR, DE, IT",0,"France, 17th century, during the reign of Louis XIII. When a dear friend, the Duke of Nevers, is treacherously assassinated by a powerful relative, a skilled swordsman, the noble Henri de Lagardère, seeks his rightful vengeance as he tries to protect the innocent life of the duke's last heir.","['Cecchi Gori Group Tiger Cinematografica', 'Alicéléo', 'Canal+', 'TF1 Films Production', 'Gemini Filmproduktion', 'Prima Films']"
3449,tt0118834,6.3,1984,1998,122,"Drama,Romance",movie,Those Who Love Me Can Take the Train,0,31353,1.383,/iwATSa886QDamfkTG3nHXkCoXPe.jpg,FR,0,"Friends of a recently painter Jean-Baptiste Emmerich gather at a Paris railroad station for a four-hour journey to Limoges, where Emmerich wanted to be buried. The dozen travelers include art historian François and his lover Louis, who develops an interest in Bruno, whom he meets on a train. Traveling parallel with the train is a station wagon with Jean-Baptiste's body, and this vehicle is driven by Thierry, husband of Catherine, who's on the train with their daughter. François plays a taped interview with Jean-Baptiste, revealing his sexual appeal to both men and women. Lucie is convinced that she was his main love. Also on board is his nephew, Jean-Marie and Jean-Marie's estranged wife Claire. After the funeral in ""Europe's largest cemetery,"" the story continues in the mansion of Jean-Baptiste's brother Lucien.","['Téléma Productions', 'Canal+', 'France 2 Cinéma']"
3450,tt0118834,6.3,1984,1998,122,"Drama,Romance",movie,Those Who Love Me Can Take the Train,0,31353,1.383,/iwATSa886QDamfkTG3nHXkCoXPe.jpg,FR,0,"Friends of a recently painter Jean-Baptiste Emmerich gather at a Paris railroad station for a four-hour journey to Limoges, where Emmerich wanted to be buried. The dozen travelers include art historian François and his lover Louis, who develops an interest in Bruno, whom he meets on a train. Traveling parallel with the train is a station wagon with Jean-Baptiste's body, and this vehicle is driven by Thierry, husband of Catherine, who's on the train with their daughter. François plays a taped interview with Jean-Baptiste, revealing his sexual appeal to both men and women. Lucie is convinced that she was his main love. Also on board is his nephew, Jean-Marie and Jean-Marie's estranged wife Claire. After the funeral in ""Europe's largest cemetery,"" the story continues in the mansion of Jean-Baptiste's brother Lucien.","['Téléma Productions', 'Canal+', 'France 2 Cinéma']"
